epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,7800.88,0.26563,0.40405,0.17738,0.83099,0,0.9191,0.88309,0.90159,0.80437,0.93659,0.89137,0.91183,0.77958,0.40742,0.99972,0.31255,0.92531,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8070.65,0.26634,0.41,0.17767,0.8299,0,0.91891,0.88247,0.90189,0.80494,0.93676,0.89169,0.91183,0.78033,0.40704,0.99961,0.31287,0.92458,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8339.96,0.21823,0.36149,0.13988,0.79193,0,0.91868,0.88206,0.90151,0.80469,0.9348,0.89124,0.91166,0.78014,0.40678,1.00314,0.3141,0.92387,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8605.52,0.2133,0.3588,0.13696,0.79019,0,0.91803,0.88176,0.89879,0.80376,0.93789,0.88836,0.91171,0.78004,0.40683,1.00749,0.31521,0.92421,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8869.85,0.21178,0.35546,0.13666,0.79139,0,0.91563,0.88256,0.89864,0.80335,0.942,0.88441,0.91167,0.78033,0.40661,1.01012,0.315,0.92444,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9133.83,0.20821,0.35744,0.13323,0.78839,0,0.91684,0.88085,0.89858,0.80371,0.94412,0.88123,0.91139,0.78064,0.40718,1.01383,0.31597,0.92546,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9399.34,0.20872,0.35713,0.13305,0.79036,0,0.91862,0.87755,0.8981,0.80363,0.94255,0.88082,0.91105,0.78025,0.4078,1.01698,0.31633,0.92626,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9664.13,0.20781,0.35497,0.13253,0.7872,0,0.91659,0.87861,0.89806,0.80287,0.94339,0.88046,0.91081,0.7787,0.40831,1.0194,0.31741,0.92662,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9930.38,0.2027,0.34751,0.12971,0.78765,0,0.91729,0.87831,0.89789,0.80292,0.9439,0.87971,0.91062,0.77955,0.40869,1.02254,0.31744,0.92743,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10198.7,0.20211,0.35071,0.12971,0.78577,0,0.9287,0.86757,0.89779,0.803,0.94584,0.87819,0.91048,0.77838,0.40934,1.02389,0.31703,0.92809,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
